PAT,LATITUDE*,LONGITUDE*
2725,"-2,8933300000","-41,2584000000"
2304,"-3,0177000000","-41,1415000000"
3501,"-3,5722800000","-41,0905600000"
3027,"-3,5722000000","-41,0903000000"
1593,"-3,7341000000","-41,0126000000"
2235,"-3,7244000000","-41,0118000000"
3671,"-3,7125440000","-40,9953260000"
3053,"-3,7127000000","-40,9953000000"
2846,"-4,7474700000","-40,9409900000"
2606,"-4,4224000000","-40,9099000000"
3563,"-4,1180700000","-40,8680700000"
2891,"-4,1183200000","-40,8676000000"
3015,"-4,2890200000","-40,8466000000"
2749,"-4,0805560000","-40,8205560000"
3565,"-3,7516000000","-40,8063000000"
2892,"-5,5156000000","-40,7771000000"
2752,"-4,0452780000","-40,7613890000"
3527,"-3,9104000000","-40,7522000000"
2918,"-4,1749000000","-40,7521000000"
2838,"-3,3691000000","-40,7407000000"
2317,"-5,1661000000","-40,6689000000"
2334,"-5,1679000000","-40,6674000000"
2335,"-5,1715000000","-40,6649000000"
3018,"-3,5418000000","-40,6639000000"
2325,"-5,1675000000","-40,6629000000"
2320,"-5,1762000000","-40,6590000000"
2318,"-5,1823000000","-40,6567000000"
2061,"-3,5833690000","-40,5511070000"
2836,"-3,3151000000","-40,5508000000"
3654,"-3,5854000000","-40,5471000000"
3110,"-4,1693000000","-40,5378700000"
4074,"-2,8000000000","-40,5044000000"
3842,"-3,7695000000","-40,4909000000"
2839,"-3,9408000000","-40,4799000000"
2718,"-7,2783000000","-40,4571000000"
3190,"-2,9093000000","-40,4543000000"
2612,"-4,0374500000","-40,3718000000"
3042,"-3,5498000000","-40,3437000000"
2888,"-5,3808000000","-40,3377000000"
3285,"-6,0275900000","-40,2949000000"
3145,"-6,0127000000","-40,2818000000"
4058,"-3,7985000000","-40,2670000000"
3176,"-3,0432900000","-40,1642000000"
3483,"-3,1110000000","-40,1502000000"
3106,"-2,8961900000","-40,1253600000"
3102,"-2,8867000000","-40,1230000000"
4390,"-3,3185800000","-40,0081000000"
9110,"-3,3185800000","-40,0081000000"
3198,"-2,9292000000","-39,9163000000"
4103,"-6,5436700000","-39,9063100000"
3011,"-6,1346000000","-39,8893000000"
4110,"-6,6813000000","-39,7576000000"
3630,"-7,1898000000","-39,7386000000"
2746,"-7,0066000000","-39,7382000000"
2583,"-3,4617000000","-39,5761000000"
2506,"-3,3103000000","-39,5170000000"
4217,"-3,5020000000","-39,4879000000"
2575,"-3,1808500000","-39,4778900000"
2919,"-3,1499600000","-39,4638000000"
2614,"-6,1115000000","-39,4562000000"
1956,"-7,2593000000","-39,3361000000"
1814,"-7,2590000000","-39,3340000000"
3306,"-7,1808000000","-39,3118000000"
2903,"-7,2278000000","-39,3109000000"
3303,"-7,2077000000","-39,3009000000"
2406,"-7,2973000000","-39,2880000000"
